TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2015-06-30,GAZP,28631,3826292579.1,143.5,142.25,145.95,145.85,144.26,145.85,26523160,3,1.57,70.23006497485032
2015-07-01,GAZP,26281,2363177889.8,145.7,144.68,146.95,145.5,146.0,145.5,16186130,3,-0.24,70.06153207981298
2015-07-02,GAZP,19007,2339617759.3,145.51,144.8,146.9,145.8,146.07,145.8,16017460,3,0.21,70.20598884698785
2015-07-03,GAZP,15377,1687187627.3,145.96,144.0,146.05,144.33,144.73,144.33,11657320,3,-1.01,69.49815068783099
2015-07-06,GAZP,22220,2688407011.2,143.51,141.25,144.06,143.0,142.85,143.0,18819930,3,-0.92,68.85772568668904
2015-07-07,GAZP,42592,4149435590.3,142.77,142.03,144.86,142.5,143.37,142.5,28941760,3,-0.35000000000000003,68.61696440806425
2015-07-08,GAZP,45371,4072715962.9,142.45,139.55,142.94,141.5,140.72,141.5,28942780,3,-0.7000000000000001,68.13544185081469
2015-07-09,GAZP,38510,3216256340.4,141.9,141.37,143.85,143.77,142.95,143.77,22499230,3,1.6,69.22849805577121
2015-07-10,GAZP,22462,2877713219.7,144.0,143.5,144.7,143.9,144.14,143.9,19964070,3,0.09,69.29109598821366
2015-07-13,GAZP,29013,3438216522.9,143.7,143.4,145.35,145.27,144.45,145.27,23801640,3,0.9500000000000001,69.95078189164558
2015-07-14,GAZP,26637,3912455947.5,145.3,144.16,146.5,146.5,145.23,146.5,26939550,3,0.85,70.54305463706255
2015-07-15,GAZP,42334,4132232883.3,141.5,141.0,143.38,142.7,142.39,142.7,29020430,3,-2.59,72.264852094105
2015-07-16,GAZP,28937,2206229015.5,142.51,142.01,144.2,144.2,143.38,144.2,15387510,3,1.05,73.02446861927078
2015-07-17,GAZP,49079,3054717235.8,143.66,143.4,145.64,143.6,144.64,143.6,21119450,3,-0.42,72.72062200920448
2015-07-20,GAZP,29646,2821330251.9,143.9,140.5,144.2,141.78,142.0,141.78,19869060,3,-1.27,71.79895395866998
2015-07-21,GAZP,30042,3186707446.8,141.5,139.96,142.45,141.41,141.13,141.41,22579210,3,-0.26,71.61158188246242
2015-07-22,GAZP,39824,3906069809.9,140.7,138.71,141.01,140.8,139.77,140.8,27947150,3,-0.43,71.30267116222835
2015-07-23,GAZP,27833,2857673879.8,140.55,138.32,140.8,138.37,139.07,138.37,20548470,3,-1.73,70.07209239145978
2015-07-24,GAZP,40345,4196389494.8,138.1,135.85,138.34,136.41,136.99,136.41,30632020,3,-1.42,69.07952679857648
2015-07-27,GAZP,38336,4251445441.3,136.1,133.13,136.37,134.51,134.36,134.51,31642430,3,-1.3900000000000001,68.11734586669981
2015-07-28,GAZP,37869,3969419783.0,134.5,132.77,136.36,135.05,135.02,135.05,29397710,3,0.4,68.3908078157595
2015-07-29,GAZP,35441,3625126974.5,135.38,134.35,138.7,138.7,136.8,138.7,26500120,3,2.7,70.23920802699624
2015-07-30,GAZP,32607,3360786537.5,138.5,138.04,140.44,139.8,139.49,139.8,24092880,3,0.79,70.79626014545116
2015-07-31,GAZP,37932,4393616782.8,139.4,137.85,142.6,142.5,140.09,142.5,31362610,3,1.9300000000000002,72.16356989074956
2015-08-03,GAZP,32942,3717654081.1,142.0,139.9,143.15,141.45,141.39,141.45,26294150,3,-0.74,71.63183832313351
2015-08-04,GAZP,28284,3761575111.0,141.1,140.15,142.75,141.89,141.67,141.89,26554060,3,0.31,71.85465917051548
2015-08-05,GAZP,27562,3656094298.2,142.24,140.75,143.95,143.78,142.57,143.78,25643100,3,1.33,72.81177599222437
2015-08-06,GAZP,41327,5107691812.8,143.01,140.23,143.74,140.88,141.43,140.88,36117180,3,-2.02,71.34318404357052
2015-08-07,GAZP,22683,2950119926.0,141.01,140.5,142.2,141.34,141.54,141.34,20843610,3,0.33,71.57613311128803
2015-08-10,GAZP,45041,5811512354.6,141.25,138.0,141.6,141.5,139.6,141.5,41630180,3,0.11,71.65715887397238
2015-08-11,GAZP,33825,4676629747.9,141.5,141.05,143.3,141.97,142.53,141.97,32854520,3,0.33,71.89517205185766
2015-08-12,GAZP,29438,3716600964.1,141.22,140.1,143.2,142.99,141.98,142.99,26189320,3,0.72,72.4117112889704
