TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2016-08-25,ROSN,9231,908853817.0,350.0,345.0,350.25,348.2,347.05,348.2,2618790,3,-0.5700000000000001,240.6536100183956
2016-08-26,ROSN,7839,788138629.0,348.4,345.55,352.25,350.55,348.55,350.55,2261380,3,0.67,242.27777998836467
2016-08-29,ROSN,5311,372007764.5,348.4,346.0,351.0,350.6,348.05,350.6,1068890,3,0.01,242.31233679623637
2016-08-30,ROSN,5639,475189646.0,350.5,347.6,352.5,348.0,350.15,348.0,1356910,3,-0.74,240.51538278690887
2016-08-31,ROSN,12402,935425928.0,347.6,341.55,348.5,344.7,344.35,344.7,2719050,3,-0.9500000000000001,238.23463346737785
2016-09-01,ROSN,10432,1049455087.5,344.85,338.5,344.85,341.3,340.4,341.3,3083320,3,-0.99,235.88477053210346
2016-09-02,ROSN,14367,1738648815.0,341.9,340.6,351.45,349.9,347.95,349.9,4996840,3,2.52,241.8285414860328
2016-09-05,ROSN,12300,1467687730.5,352.0,350.0,357.8,353.6,353.7,353.6,4149430,3,1.06,244.3857452685373
2016-09-06,ROSN,9112,1027473141.0,354.15,351.65,358.3,358.0,355.7,358.0,2888460,3,1.24,247.42674436124534
2016-09-07,ROSN,10818,1288191574.5,357.6,357.6,364.55,364.0,362.4,364.0,3554500,3,1.6800000000000002,251.57356130584722
2016-09-08,ROSN,8207,1221629453.5,365.95,361.45,366.6,364.75,363.75,364.75,3358020,3,0.21,252.09191342392245
2016-09-09,ROSN,6828,954887524.5,363.0,360.05,364.35,362.4,362.4,362.4,2635070,3,-0.64,250.46774345395337
2016-09-12,ROSN,9904,1359901936.0,358.45,358.45,369.3,367.0,363.25,367.0,3743280,3,1.27,253.64696977814816
2016-09-13,ROSN,8919,1264605647.0,366.65,362.75,370.25,363.9,365.4,363.9,3460400,3,-0.84,251.50444769010383
2016-09-14,ROSN,9106,1223598813.0,365.5,362.45,367.8,367.15,365.8,367.15,3345070,3,0.89,253.7506402017632
2016-09-15,ROSN,12855,1716623507.5,366.15,363.5,370.8,367.9,366.8,367.9,4679980,3,0.2,254.26899231983842
2016-09-16,ROSN,11306,1640667453.5,368.55,358.95,368.7,360.85,363.1,360.85,4518470,3,-1.92,249.39648240993125
2016-09-19,ROSN,10719,1151413132.5,361.45,355.05,363.7,361.2,359.5,361.2,3202910,3,0.1,249.638380065033
2016-09-20,ROSN,8114,895859703.5,360.5,354.0,360.65,358.8,356.65,358.8,2511930,3,-0.66,247.97965328719226
2016-09-21,ROSN,6255,823241554.5,359.5,355.1,362.15,360.0,358.1,360.0,2298880,3,0.33,248.80901667611263
2016-09-22,ROSN,11396,1165910957.0,361.1,357.05,362.4,360.45,359.55,360.45,3242450,3,0.12,249.12002794695778
2016-09-23,ROSN,8732,1131137071.5,359.45,353.05,360.05,356.05,355.5,356.05,3181650,3,-1.22,246.07902885424974
2016-09-26,ROSN,7377,726233251.5,355.55,348.6,355.6,350.35,351.3,350.35,2067220,3,-1.6,242.13955275687798
2016-09-27,ROSN,20382,2135687711.5,350.7,339.3,350.75,341.0,343.05,341.0,6224820,3,-2.67,235.67742968487335
2016-09-28,ROSN,10655,1327184402.0,340.0,337.75,345.85,341.3,341.8,341.3,3883880,3,0.09,235.88477053210346
2016-09-29,ROSN,9801,1032525221.0,347.0,346.25,351.1,349.2,349.4,349.2,2954970,3,2.31,241.34474617582924
2016-09-30,ROSN,10731,1312160264.0,346.7,342.8,352.35,342.8,347.0,342.8,3781200,3,-1.83,236.92147476825392
2016-10-03,ROSN,10924,1267489271.5,345.0,344.15,352.7,346.0,348.3,346.0,3639160,3,0.93,239.13311047204158
2016-10-04,ROSN,8522,941506182.5,346.25,342.9,349.3,346.6,345.95,346.6,2721510,3,0.17,239.54779216650178
2016-10-05,ROSN,17396,2297825151.0,346.5,336.55,347.15,341.7,340.6,341.7,6746490,3,-1.4100000000000001,236.1612249950769
2016-10-06,ROSN,8201,978474939.0,341.0,337.05,344.0,343.4,340.85,343.4,2870670,3,0.5,237.3361564627141
2016-10-07,ROSN,8330,969005213.5,341.4,339.0,345.05,341.5,340.85,341.5,2842740,3,-0.55,236.02299776359018
2016-10-10,ROSN,17649,2389564681.5,341.9,339.75,361.3,361.0,353.2,361.0,6765250,3,5.71,249.50015283354628
2016-10-11,ROSN,14326,2193517131.0,362.0,359.25,367.5,362.05,362.8,362.05,6045780,3,0.29,250.22584579885162
2016-10-12,ROSN,11540,1511517290.0,362.0,360.25,366.9,363.15,364.35,363.15,4148590,3,0.30000000000000004,250.9860955720286
2016-10-13,ROSN,9234,1337594855.0,362.35,358.0,365.7,359.4,360.7,359.4,3708120,3,-1.03,248.39433498165243
2016-10-14,ROSN,13862,1483564857.0,360.0,349.3,361.45,353.85,353.9,353.85,4191840,3,-1.54,244.55852930789572
2016-10-17,ROSN,14939,1592161616.0,351.0,345.2,353.95,348.0,348.0,348.0,4576530,3,-1.65,240.51538278690887
2016-10-18,ROSN,9475,1077217564.0,350.6,344.2,350.6,345.75,347.05,345.75,3103900,3,-0.65,238.96032643268316
2016-10-19,ROSN,7133,586857369.5,347.75,343.6,347.75,345.1,345.35,345.1,1699300,3,-0.19,238.51108793035132
2016-10-20,ROSN,5472,628063859.5,345.5,342.05,345.5,342.8,343.4,342.8,1828730,3,-0.67,236.92147476825392
2016-10-21,ROSN,5342,592003881.0,343.7,341.6,345.15,344.3,343.4,344.3,1723910,3,0.44,237.9581790044044
2016-10-24,ROSN,8072,902971935.5,345.3,344.3,348.9,347.75,347.2,347.75,2600930,3,1.0,240.34259874755045
2016-10-25,ROSN,8821,779025513.5,347.75,345.25,351.0,348.7,348.55,348.7,2235050,3,0.27,240.99917809711243
2016-10-26,ROSN,6994,633419327.0,348.65,345.0,348.85,347.6,346.75,347.6,1826580,3,-0.32,240.23892832393543
2016-10-27,ROSN,8877,822742332.0,347.0,342.15,348.35,346.7,345.4,346.7,2381850,3,-0.26,239.61690578224514
2016-10-28,ROSN,6127,535555682.5,346.7,346.3,351.0,349.9,349.15,349.9,1533920,3,0.92,241.8285414860328
2016-10-31,ROSN,7119,650356556.0,349.7,345.35,350.05,347.65,347.35,347.65,1872470,3,-0.64,240.2734851318071
2016-11-01,ROSN,7864,931950738.0,348.25,347.7,355.7,354.8,351.75,354.8,2649730,3,2.06,245.21510865745768
2016-11-02,ROSN,12955,1595480506.5,355.0,347.05,360.45,348.15,355.1,348.15,4492810,3,-1.87,240.6190532105239
2016-11-03,ROSN,9570,1114822578.5,350.3,341.3,350.3,342.0,344.45,342.0,3236300,3,-1.77,236.368565842307
2016-11-07,ROSN,11548,1044574562.0,343.6,340.2,345.5,341.0,342.4,341.0,3050930,3,-0.29,235.67742968487335
2016-11-08,ROSN,7237,621552200.5,341.15,339.2,344.6,340.5,341.75,340.5,1818680,3,-0.15,235.33186160615654
2016-11-09,ROSN,13729,1266509310.0,336.05,336.05,348.5,347.6,344.45,347.6,3676690,3,2.09,240.23892832393543
2016-11-10,ROSN,15741,1907300298.0,348.8,346.0,358.0,351.05,353.95,351.05,5388640,3,0.99,242.6233480670815
2016-11-11,ROSN,10169,1083580341.0,351.05,342.1,353.05,342.1,347.1,342.1,3120980,3,-2.55,236.43767945805038
