TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2014-02-12,TATN,8419,556465097.1,208.09,207.3,213.4,212.57,210.35,212.66,2645480,3,2.49,129.0698373787569
2014-02-13,TATN,7428,510826830.1,211.51,209.24,212.77,210.25,210.88,210.2,2422310,3,-1.16,127.5767883805826
2014-02-14,TATN,5175,291597335.7,210.55,209.42,212.58,212.58,210.92,212.12,1382500,3,0.91,128.74209491574302
2014-02-17,TATN,4419,285362413.9,212.79,210.96,214.55,212.61,212.93,213.12,1340150,3,0.47000000000000003,129.34902540280572
2014-02-18,TATN,5933,379190385.2,213.04,212.5,216.63,214.36,214.61,213.77,1766890,3,0.30000000000000004,129.7435302193965
2014-02-19,TATN,5454,334060367.9,213.94,212.0,216.0,213.0,213.59,214.11,1564030,3,0.16,129.9498865849978
2014-02-20,TATN,9420,524300736.6,213.04,207.87,213.04,208.81,209.74,209.29,2499800,3,-2.25,127.02448163735554
2014-02-21,TATN,5462,272849477.9,210.36,210.05,212.67,212.55,211.68,211.84,1288970,3,1.22,128.57215437936546
2014-02-24,TATN,3764,333160107.4,217.5,211.25,217.5,214.5,213.34,214.5,1561640,3,1.26,130.18658947495229
2014-02-25,TATN,9318,806994947.5,214.5,208.99,215.32,209.66,211.14,209.48,3822050,3,-2.34,127.13979842989744
2014-02-26,TATN,10332,654236912.8,210.38,208.51,210.94,210.29,209.64,209.41,3120770,3,-0.03,127.09731329580306
2014-02-27,TATN,8541,446407716.8,210.23,206.11,210.7,208.5,207.76,208.5,2148640,3,-0.43,126.54500655257598
2014-02-28,TATN,9584,518187943.7,208.21,206.5,212.0,212.0,209.43,211.19,2474250,3,1.29,128.1776495627747
2014-03-03,TATN,19445,1197643337.7,205.0,198.33,206.5,206.5,202.65,205.67,5910000,3,-2.61,124.8273932741885
2014-03-04,TATN,15421,794455857.1,206.56,206.08,214.4,208.97,209.05,207.5,3800290,3,0.89,125.93807606551327
2014-03-05,TATN,12211,589693005.8,208.61,199.49,209.31,206.33,204.14,204.92,2888630,3,-1.24,124.37219540889146
2014-03-06,TATN,12264,581262192.8,204.95,200.5,206.87,205.66,203.4,204.42,2857770,3,-0.24,124.06873016536011
2014-03-07,TATN,10266,446886820.7,205.33,201.71,208.51,205.99,206.35,205.99,2165710,3,0.77,125.02161103004858
2014-03-11,TATN,12236,406078148.2,205.3,201.3,206.75,204.99,203.97,203.34,1990830,3,-1.29,123.41324523933238
2014-03-12,TATN,13063,542737007.3,202.54,195.87,203.18,197.46,199.49,196.0,2720560,3,-3.61,118.95837546429206
2014-03-13,TATN,16623,803748781.8,197.96,189.0,199.0,189.88,194.22,189.75,4138430,3,-3.19,115.16505992015009
2014-03-14,TATN,18220,882535616.5,185.96,180.5,188.05,188.0,184.07,188.0,4794630,3,-0.92,114.10293156779034
2014-03-17,TATN,13061,940809536.2,189.0,187.61,196.88,196.0,192.03,194.29,4899190,3,3.35,117.92052433141481
2014-03-18,TATN,13026,610776076.0,195.15,190.66,199.0,197.94,195.09,197.52,3130690,3,1.6600000000000001,119.8809098046274
2014-03-19,TATN,11631,552072949.0,198.43,191.22,199.8,193.0,195.15,191.98,2828960,3,-2.8,116.51851490629994
2014-03-20,TATN,11003,367574330.2,190.3,190.2,194.19,193.95,192.24,193.01,1912080,3,0.54,117.14365330797453
2014-03-21,TATN,15793,786214960.3,190.95,181.64,197.7,196.5,192.03,195.63,4094230,3,1.3599999999999999,118.73381118407885
2014-03-24,TATN,22827,690857573.7,195.63,187.0,199.7,187.0,192.19,188.18,3594710,3,-3.81,114.21217905546163
2014-03-25,TATN,11850,496706589.8,188.3,185.77,193.43,190.34,190.27,190.97,2610500,3,1.48,115.90551511436661
2014-03-26,TATN,11712,518017781.6,191.96,190.52,197.2,195.79,194.19,194.87,2667520,3,2.04,118.27254401391119
2014-03-27,TATN,10790,402685803.6,194.65,191.05,198.0,197.33,194.67,197.7,2068520,3,1.45,119.99015729229866
2014-03-28,TATN,8028,445410394.3,197.47,195.85,199.68,198.9,198.35,199.0,2245530,3,0.66,120.7791669254802
2014-03-31,TATN,8547,496617128.2,199.5,195.72,200.0,200.0,197.81,200.0,2510610,3,0.5,121.38609741254291
2014-04-01,TATN,11503,568991281.6,200.01,197.1,202.88,201.14,200.22,201.14,2841830,3,0.0,122.0779981677944
2014-04-02,TATN,8989,422590650.0,200.09,196.14,201.68,199.5,198.2,199.5,2132140,3,0.0,121.08263216901156
2014-04-03,TATN,7815,326487750.9,199.18,195.19,201.0,198.9,198.05,198.9,1648550,3,0.0,120.71847387677393
2014-04-04,TATN,9283,555701765.8,198.84,197.12,204.86,204.15,201.97,204.15,2751430,3,0.0,123.90485893385318
2014-04-07,TATN,16519,800506835.5,202.4,198.99,204.08,203.0,201.77,203.0,3967390,3,0.0,123.20688887373106
2014-04-08,TATN,10900,640338652.1,202.99,200.07,209.6,209.02,205.42,209.02,3117260,3,0.0,126.8606104058486
2014-04-09,TATN,9562,541813119.8,208.04,207.5,214.0,212.63,211.91,212.63,2556760,3,0.0,129.051629464145
2014-04-10,TATN,11627,686858882.7,213.5,211.22,219.0,219.0,215.88,219.0,3181650,3,0.0,132.91777666673448
2014-04-11,TATN,11285,538323079.8,216.78,216.33,220.77,217.0,218.66,217.0,2461960,3,0.0,131.70391569260906
2014-04-14,TATN,8942,454969270.2,217.08,212.46,217.25,213.8,214.19,213.8,2124090,3,0.0,129.7617381340084
2014-04-15,TATN,8897,484252493.0,213.61,208.23,215.33,209.1,212.58,209.1,2277970,3,0.0,126.90916484481362
2014-04-16,TATN,12796,480385701.1,210.45,207.52,212.0,208.0,209.16,208.0,2296690,3,0.0,126.24154130904463
2014-04-17,TATN,10758,388775108.2,209.74,206.0,211.9,208.5,208.18,208.5,1867470,3,0.0,126.54500655257598
2014-04-18,TATN,3933,180641991.1,214.0,211.1,214.48,211.99,212.63,211.99,849560,3,0.0,128.66319395242488
2014-04-21,TATN,5070,169844023.3,210.0,208.92,212.73,209.25,210.65,209.25,806270,3,0.0,127.00020441787302
